profession,N,N_stu,study,rl_sm,group1,group2,pL_creative,pL_control,lower,effect,upper,p,I2,comparison,model_type,label,es_type,se
Architecture,NA,NA,cosenza_1993,R/L,Architecture applicants,Non-art/music/ architecture applicants,"42/347
(12.1%)","1190/10422
(11.42%)",0.7701931027665829,1.0683124397299906,1.4818250965663702,0.7573258350370756,NA,SR/SL,NA,NA,OR,0.18154210980738672
Architecture,NA,NA,schacter_1996,S/M,Architects,Non-architects,"7/148
(4.73%)","41/1048
(3.91%)",0.5473601245151203,1.2193392146687425,2.719004987562442,0.8020982768572056,NA,(SR+SL)/M,NA,NA,OR,0.5540012163940204
Architecture,NA,NA,fry_1990,R/L,Architecture,Non-architecture,"12/69
(17.39%)","41/297
(13.8%)",0.6560294354540979,1.3145057766367136,2.6391849542725137,0.5668125051440013,NA,R/L,NA,NA,OR,0.5059163164377749
Architecture,NA,NA,peterson_1979,R/L,"Design, Arch., Art","Non-art, music","18/147
(12.24%)","46/569
(8.08%)",0.8953214908307296,1.5864509605662285,2.813898139085442,0.15735099029875982,NA,R/L,NA,NA,OR,0.4894418120404764
Architecture,NA,NA,schacter_1996,R/L,Architects,Non-architects,"26/141
(18.44%)","92/1007
(9.14%)",1.3995896574566076,2.2485822306238186,3.612574600662163,0.00111769317670308,NA,SR/SL,NA,NA,OR,0.5645473489975579
Architecture,NA,NA,wood_1991,S/M,Architecture students (W),General students (W),"2/27
(7.41%)","2/149
(1.34%)",0.9852025923255048,5.880000000000001,35.16391820754979,0.21350871733089263,NA,(SR+SL)/M,NA,NA,OR,8.719220323644118
Art,17,9,NA,NA,NA,NA,NA,NA,1.378899748975034,1.6092554941524562,1.878093927702031,1.578589631613033e-9,".59 [.30, .76]",NA,random (all),glmer,OR,NA
Art,NA,NA,nlsy79,R/L,Artistic occupations,"Non-art, architecture, music","2/43
(4.65%)","722/5468
(13.2%)",0.08534199049481972,0.32065400986419834,1.2047878593625108,0.15352888649019686,NA,R/L,NA,NA,OR,0.2855781732975038
Art,NA,NA,shettel-neuber_1983,R/L,Art,"Law, Psychology","1/30
(3.33%)","5/53
(9.43%)",0.04890212062571029,0.3310344827586207,2.3137117762180375,0.5552266540804622,NA,SR/SL,NA,NA,OR,0.5777681818280482
Art,NA,NA,shettel-neuber_1983,S/M,Art,"Law, Psychology","1/31
(3.23%)","2/55
(3.64%)",0.11065124188794642,0.8833333333333333,7.172528176703782,0.9999999999999992,NA,(SR+SL)/M,NA,NA,OR,1.8015323216444337
Art,NA,NA,giotakos_2004,R/L,Art Hobbies,Non-Art Hobbes,"6/100
(6%)","25/439
(5.69%)",0.4332427392369918,1.0570212765957447,2.586654345521175,0.999999999999999,NA,SR/SL,NA,NA,OR,0.5493497899119626
Art,NA,NA,nlsy79,S/M,Artistic occupations,"Non-art, architecture, music","1/43
(2.33%)","120/5468
(2.19%)",0.18301948496949969,1.0611111111111111,6.164424677779595,0.999999999999885,NA,(SR+SL)/M,NA,NA,OR,1.5258967103453578
Art,NA,NA,nlsy97,S/M,Artistic occupations,"Non-art, architecture, music","9/78
(11.54%)","636/6091
(10.44%)",0.5628134985924408,1.1187448728465956,2.223809652132884,0.8978536128354225,NA,(SR+SL)/M,NA,NA,OR,0.42373129471821147
Art,NA,NA,cosenza_1993,R/L,Fine Arts applicants,Non-art/music/ architecture applicants,"4/31
(12.9%)","1190/10422
(11.42%)",0.4190883230167553,1.1493308434484906,3.1551400420117504,0.999999999999998,NA,SR/SL,NA,NA,OR,0.6979852029365393
Art,NA,NA,cosenza_1993,S/M,Fine Arts applicants,Non-art/music/ architecture applicants,"20/51
(39.22%)","5583/16005
(34.88%)",0.6906362021304807,1.2043472985387669,2.100168527255386,0.6163549946233768,NA,(SR+SL)/M,NA,NA,OR,0.3595811801245117
Art,NA,NA,coren_1982,R/L,Science/Visual  Art,Lang/Lit,"28/225
(12.44%)","27/262
(10.31%)",0.7086950880556667,1.2370746380898665,2.159396454127768,0.5485223248817873,NA,0 split,NA,NA,OR,0.3700836794744824
Art,NA,NA,nlsy97,R/L,Artistic occupations,"Non-art, architecture, music","19/78
(24.36%)","1184/6091
(19.44%)",0.796574942631189,1.3346455565735225,2.2361722247973965,0.34412188746251987,NA,SR/SL,NA,NA,OR,0.3672509529566787
Art,NA,NA,giotakos_2004,S/M,Art Hobbies,Non-Art Hobbies,"84/184
(45.65%)","256/695
(36.83%)",1.0374593836197326,1.44046875,2.000030316837074,0.03584422620317389,NA,(SR+SL)/M,NA,NA,OR,0.24555832168600508
Art,NA,NA,peterson_1979,R/L,"Design, Arch., Art","Non-art, music","18/147
(12.24%)","46/569
(8.08%)",0.8953214908307296,1.5864509605662285,2.813898139085442,0.15735099029875982,NA,R/L,NA,NA,OR,0.4894418120404764
Art,NA,NA,mebert_1980,S/M,Art,Non-Art,"28/103
(27.18%)","15/101
(14.85%)",1.0692982716794257,2.1404444444444444,4.280307576921791,0.04685111984715034,NA,(SR+SL)/M,NA,NA,OR,0.8191500789224695
Art,NA,NA,mebert_1980,R/L,Art,Non-Art,"21/75
(28%)","7/86
(8.14%)",1.7721112711299067,4.388888888888889,10.815529772431132,0.00188315203416169,NA,SR/SL,NA,NA,OR,2.3070369079826363
Art,NA,NA,coren_1982,S/M,Science/Visual  Art,Lang/Lit,"69/225
(30.67%)","21/262
(8.02%)",3.00245314669162,5.076007326007326,8.581599483765876,2.9071375193683087e-10,NA,SR/(M+SL),NA,NA,OR,1.4232777696635888
Art,NA,NA,preti_2007,S/M,"Writers, Painters",Noncreatives,"8/50
(16%)","2/80
(2.5%)",1.679874227567736,7.428571428571429,32.36105546437163,0.01343676442686773,NA,(SR+SL)/M,NA,NA,OR,7.826975770680774
Art,NA,NA,preti_2007,R/L,"Writers, Painters",Noncreatives,"2/42
(4.76%)","0/78
(0%)",0.9743580017223832,Inf,Inf,0.23169362695829715,NA,SR/SL,NA,NA,OR,Inf
Music,26,12,NA,NA,NA,NA,NA,NA,1.2508072360815272,1.3805264425818835,1.523698619331914,1.5035674180820518e-10,".03 [.00, .45]",NA,random (all),glmer,OR,NA
Music,NA,NA,nlsy79,R/L,Musicians and composers,"Non-art, architecture, music","0/12
(0%)","722/5468
(13.2%)",0,0,2.1089364487341977,0.35565505782487516,NA,R/L,NA,NA,OR,0.5380038779715393
Music,NA,NA,nlsy79,S/M,Musicians and composers,"Non-art, architecture, music","0/12
(0%)","120/5468
(2.19%)",0,0,14.35681736173924,0.9999999999997384,NA,(SR+SL)/M,NA,NA,OR,3.662520708284435
Music,NA,NA,nlsy97,S/M,"Musicians, singers and related workers","Non-art, architecture, music","0/11
(0%)","635/6090
(10.43%)",0,0,3.004820278474173,0.5239108358746846,NA,(SR+SL)/M,NA,NA,OR,0.7665498708588048
Music,NA,NA,nlsy97,R/L,"Musicians, singers and related workers","Non-art, architecture, music","1/11
(9.09%)","1183/6090
(19.43%)",0.06832823712671351,0.41479289940828407,2.51803875871203,0.6281361588692526,NA,SR/SL,NA,NA,OR,0.6249376368413708
Music,NA,NA,oldfield_1969,R/L,Music students and faculty,Psychology undergrads,"13/129
(10.08%)","157/1128
(13.92%)",0.3841880950809576,0.6931144300461235,1.2516994329300246,0.28348758270215524,NA,0-split,NA,NA,OR,0.221307979302652
Music,NA,NA,byrne_1974,R/L,Instrumental musicians,General students,"3/75
(4%)","38/678
(5.6%)",0.22448198015374352,0.7017543859649122,2.202546553985697,0.7542617018025489,NA,SR/SL,NA,NA,OR,0.5046175821174969
Music,NA,NA,gotestam_1990,S/M,Music (freshmen),HS seniors,"65/88
(73.86%)","69/87
(79.31%)",0.36646580125752326,0.7372400756143668,1.4846308991289554,0.5015247081209606,NA,(SR+SL)/M,NA,NA,OR,0.28525143999873875
Music,NA,NA,byrne_1974,S/M,Singers,General students,"25/134
(18.66%)","186/864
(21.53%)",0.5271876378043221,0.8360461675051791,1.3258527781706764,0.5198061829648812,NA,(SR+SL)/M,NA,NA,OR,0.20374485109576584
Music,NA,NA,gotestam_1990,R/L,Music (freshmen),HS seniors,"13/88
(14.77%)","14/87
(16.09%)",0.4020858875743888,0.9038095238095238,2.0315849935859043,0.9742425006005632,NA,(SR+MR)/(SL+ML),NA,NA,OR,0.41569618596688435
Music,NA,NA,giotakos_2004,R/L,Art Hobbies,Non-Art Hobbes,"6/100
(6%)","25/439
(5.69%)",0.4332427392369918,1.0570212765957447,2.586654345521175,0.999999999999999,NA,SR/SL,NA,NA,OR,0.5493497899119626
Music,NA,NA,byrne_1974,R/L,Singers,General students,"7/109
(6.42%)","38/678
(5.6%)",0.5126653086271842,1.1558307533539731,2.6110952570379564,0.9053716492232732,NA,SR/SL,NA,NA,OR,0.5353235990464419
Music,NA,NA,aggleton_1994,R/L,Composers,British adults,"36/331
(10.88%)","129/1538
(8.39%)",0.903213257329337,1.3329128892392592,1.967040182241626,0.17994899487500116,NA,0-split,NA,NA,OR,0.27138940646451165
Music,NA,NA,giotakos_2004,S/M,Art Hobbies,Non-Art Hobbies,"84/184
(45.65%)","256/695
(36.83%)",1.0374593836197326,1.44046875,2.000030316837074,0.03584422620317389,NA,(SR+SL)/M,NA,NA,OR,0.24555832168600508
Music,NA,NA,fry_1990,R/L,Music theory/composition,Non-music,"6/31
(19.35%)","47/335
(14.03%)",0.5884852416653761,1.4706382978723402,3.6935718752132702,0.5896811603503079,NA,R/L,NA,NA,OR,0.7921284926765038
Music,NA,NA,aggleton_1994,S/M,Composers,British adults,"52/331
(15.71%)","169/1538
(10.99%)",1.0787244594209204,1.5097877033360905,2.1131057975347303,0.02036726208125058,NA,(SR+SL)/(ML+MR),NA,NA,OR,0.26387763914869816
Music,NA,NA,aggleton_1994,S/M,Choir Members,British adults,"92/584
(15.75%)","169/1538
(10.99%)",1.1514548519717658,1.5147447924183384,1.9926545814883043,0.00360316584342875,NA,(SR+SL)/(ML+MR),NA,NA,OR,0.21459571098035854
Music,NA,NA,aggleton_1994,R/L,Instrumental musicians,British adults,"76/623
(12.2%)","129/1538
(8.39%)",1.1240069079492454,1.5175658631294022,2.0489252625124252,0.00786220244261652,NA,0-split,NA,NA,OR,0.23595289552737145
Music,NA,NA,aggleton_1994,R/L,Choir Members,British adults,"73/584
(12.5%)","129/1538
(8.39%)",1.151087570632106,1.5603543743078627,2.1151351430931458,0.00510823102834106,NA,0-split,NA,NA,OR,0.24593502229258402
Music,NA,NA,aggleton_1994,S/M,Instrumental musicians,British adults,"102/623
(16.37%)","169/1538
(10.99%)",1.2164474023854437,1.5859123896921032,2.0675929784113936,8.034168413288398e-4,NA,(SR+SL)/(ML+MR),NA,NA,OR,0.21713296334516294
Music,NA,NA,byrne_1974,S/M,Instrumental musicians,General students,"33/108
(30.56%)","186/864
(21.53%)",1.0348756433080903,1.6038709677419356,2.488197011783406,0.04603635072716979,NA,(SR+SL)/M,NA,NA,OR,0.37075205971612984
Music,NA,NA,peterson_1979,R/L,Music,"Non-art, music","7/47
(14.89%)","46/569
(8.08%)",0.8615961130769434,1.9896739130434784,4.608528877030263,0.18373984382242253,NA,R/L,NA,NA,OR,0.9558677591804361
Music,NA,NA,quinan_1922,R/L,Instrumental musicians,Machinists,"8/100
(8%)","4/100
(4%)",0.6414261346974062,2.0869565217391304,6.756313050347405,0.37173026702997414,NA,R/L,NA,NA,OR,1.5599487959685607
Music,NA,NA,preti_2007,S/M,Musicians,Noncreatives,"2/30
(6.67%)","2/80
(2.5%)",0.4644237317370138,2.7857142857142856,16.726027881178535,0.6398813271394176,NA,(SR+SL)/M,NA,NA,OR,4.148444634113429
Music,NA,NA,cosenza_1993,S/M,Music applicants,Non-art/music/ architecture applicants,"6/10
(60%)","5583/16005
(34.88%)",0.8486543958304549,2.800107469102633,9.238863166262046,0.18219520737120184,NA,(SR+SL)/M,NA,NA,OR,2.140398710540727
Music,NA,NA,cosenza_1993,R/L,Music applicants,Non-art/music/ architecture applicants,"2/4
(50%)","1190/10422
(11.42%)",1.3678390739073836,7.757983193277311,44.00101179683704,0.10128337307504184,NA,SR/SL,NA,NA,OR,10.876009217315904
Music,NA,NA,preti_2007,R/L,Musicians,Noncreatives,"3/28
(10.71%)","0/78
(0%)",2.2954463851675166,Inf,Inf,0.02330283017116071,NA,SR/SL,NA,NA,OR,Inf
