Cites	Authors	Title	Year	Source	Publisher	Abstract	ArticleURL	CitesURL	GSRank	QueryDate	Type	DOI	ISSN	CitationURL	Volume	Issue	StartPage	EndPage	ECC	CitesPerYear	CitesPerAuthor	AuthorCount	Age	FullTextURL	Abstract - Relevant?	Unique?	TTCT? (Does the study include new TTCT data?)	Lefties? (Were at least 3 lefties given the TTCT?)	Stats - can get ES for left vs. right?	Text - Relevant?	Details	Request?
21	H Takeuchi, Y Taki, A Sekiguchi, R Nouchi…	Association of hair iron levels with creativity and psychological variables related to creativity	2013	Frontiers in Human …	frontiersin.org	… “Review of the torrance tests of creative thinking,” in The Ninth Mental Measurements Yearbook, ed VJ Mitchell Jr. (Lincoln: University of Nebraska, Buros Institute of Mental …	https://www.frontiersin.org/articles/10.3389/fnhum.2013.00875/full	https://scholar.google.com/scholar?cites=9556497281701355620&as_sdt=2005&sciodt=2007&hl=en	72	2023-05-23 11:33:52	HTML	10.3389/fnhum.2013.00875							21	2.1	4	5	10	https://www.frontiersin.org/articles/10.3389/fnhum.2013.00875/full	1	1	1	0		0		
78	A Schlegel, P Alexander, SV Fogelson, X Li, Z Lu…	The artist emerges: Visual art learning alters neural structure and function	2015	NeuroImage	Elsevier	… While no significant differences in gender, age, handedness, or grade point average existed … study, during which participants completed the Torrance Tests of Creative Thinking (TTCT) …	https://www.sciencedirect.com/science/article/pii/S1053811914009318	https://scholar.google.com/scholar?cites=11596532214363605070&as_sdt=2005&sciodt=2007&hl=en	74	2023-05-23 11:33:52	HTML								78	9.75	13	6	8	https://www.sciencedirect.com/science/article/pii/S1053811914009318	1	1	1	0		0		
40	HRP Park, IJ Kirk, KE Waldie	Neural correlates of creative thinking and schizotypy	2015	Neuropsychologia	Elsevier	… The main limitations of the current study were related to handedness and gender. The recruited participants in the study were required to be right-handed, which was to limit any motor …	https://www.sciencedirect.com/science/article/pii/S0028393215300233	https://scholar.google.com/scholar?cites=8133128187653001673&as_sdt=2005&sciodt=2007&hl=en	75	2023-05-23 11:33:52	HTML								40	5	13	3	8	https://www.sciencedirect.com/science/article/pii/S0028393215300233	1	1	1	0		0		
23	M Canesi, ML Rusconi, F Moroni…	Creative thinking, professional artists, and Parkinson's disease	2016	Journal of …	content.iospress.com	… Side of onset of motor symptoms was included in PD data collection as well as handedness in PD and HC [26]. Tremor (TD) and non-tremor dominant (NTD) subtypes were also …	https://content.iospress.com/articles/journal-of-parkinsons-disease/jpd150681	https://scholar.google.com/scholar?cites=11933445172665143715&as_sdt=2005&sciodt=2007&hl=en	76	2023-05-23 11:33:52									23	3.29	6	4	7		1	1	1	0		0	Reported handedness of 24 artists, 24 non-artists (artists: 23/24 RH, non-artists: 24/24 RH)	
96	H Takeuchi, Y Taki, H Hashizume, Y Sassa, T Nagase…	Cerebral blood flow during rest associates with general intelligence and creativity	2011	PloS one	journals.plos.org	… Handedness was evaluated using the Edinburgh Handedness Inventory [18]. Data from one subject who failed to submit the questionnaire described below was excluded from the …	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0025532	https://scholar.google.com/scholar?cites=13681054871884424943&as_sdt=2005&sciodt=2007&hl=en	77	2023-05-23 11:33:52	HTML								96	8	16	6	12	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0025532	1	1	1	0		0		
2	A Bevans, YT Hsiao, A Antle	Supporting children's creativity through tangible user interfaces	2011	CHI'11 Extended Abstracts on Human …	dl.acm.org	We outline a preliminary research approach intended to explore the potential of tangible user interfaces (TUI's) in supporting children's creative problem solving activities, specifically …	https://dl.acm.org/doi/abs/10.1145/1979742.1979838	https://scholar.google.com/scholar?cites=16103801170049056216&as_sdt=2005&sciodt=2007&hl=en	78	2023-05-23 11:33:52		10.1145/1979742.1979838							2	0.17	1	3	12	https://dl.acm.org/doi/pdf/10.1145/1979742.1979838	1	1	1	0		0		
47	H Takeuchi, Y Taki, R Nouchi, R Yokoyama, Y Kotozaki…	Regional homogeneity, resting-state functional connectivity and amplitude of low frequency fluctuation associated with creativity measured by divergent …	2017	Neuroimage	Elsevier	Brain connectivity is traditionally thought to be important for creativity. Here we investigated the associations of creativity measured by divergent thinking (CMDT) with resting-state …	https://www.sciencedirect.com/science/article/pii/S1053811917301891	https://scholar.google.com/scholar?cites=8532745787641519170&as_sdt=2005&sciodt=2007&hl=en	79	2023-05-23 11:33:52	HTML								47	7.83	8	6	6	https://www.sciencedirect.com/science/article/pii/S1053811917301891	1	1	1	0		0		
167	AV Kharkhurin	The effect of linguistic proficiency, age of second language acquisition, and length of exposure to a new cultural environment on bilinguals' divergent thinking	2008	Bilingualism: language and cognition	cambridge.org	The study argues that, in addition to advantages in conscious attention-demanding processing, bilinguals may also exhibit enhanced unconscious divergent thinking. To investigate this …	https://www.cambridge.org/core/journals/bilingualism-language-and-cognition/article/effect-of-linguistic-proficiency-age-of-second-language-acquisition-and-length-of-exposure-to-a-new-cultural-environment-on-bilinguals-divergent-thinking/9F1A467E8529B715885EB9D155107BA5	https://scholar.google.com/scholar?cites=14465709328230837536&as_sdt=2005&sciodt=2007&hl=en	80	2023-05-23 11:33:52									167	11.13	167	1	15	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/9F1A467E8529B715885EB9D155107BA5/S1366728908003398a.pdf/div-class-title-the-effect-of-linguistic-proficiency-age-of-second-language-acquisition-and-length-of-exposure-to-a-new-cultural-environment-on-bilinguals-divergent-thinking-a-href-fn1a-ref-type-fn-a-div.pdf	1	1	1	0		0		
265	H Takeuchi, Y Taki, H Hashizume, Y Sassa…	The association between resting functional connectivity and creativity	2012	Cerebral …	academic.oup.com	The analysis of functional connectivity at rest (rFC) enables us to know how brain regions within and between networks interact. In this study, we used resting-state functional magnetic …	https://academic.oup.com/cercor/article-abstract/22/12/2921/307761	https://scholar.google.com/scholar?cites=3833287571658879707&as_sdt=2005&sciodt=2007&hl=en	81	2023-05-23 11:33:52									265	24.09	53	5	11	https://academic.oup.com/cercor/article/22/12/2921/307761	1	1	1	0		0		
19	O Vartanian, I Smith, TK Lam, K King, Q Lam, EL Beatty	The relationship between methods of scoring the alternate uses task and the neural correlates of divergent thinking: Evidence from voxel-based morphometry	2020	NeuroImage	Elsevier	Divergent thinking tests have been used extensively in neuroscientific studies of creativity. However, output from tests of divergent thinking can be scored in different ways, and those …	https://www.sciencedirect.com/science/article/pii/S1053811920308119	https://scholar.google.com/scholar?cites=8111298352806711697&as_sdt=2005&sciodt=2007&hl=en	85	2023-05-23 11:33:52	HTML								19	6.33	3	6	3	https://www.sciencedirect.com/science/article/pii/S1053811920308119	1	1	1	0		0		
92	C Rominger, I Papousek, CM Perchtold, B Weber…	The creative brain in the figural domain: Distinct patterns of EEG alpha power during idea generation and idea elaboration	2018	Neuropsychologia	Elsevier	This study investigated EEG activity in the upper alpha band during the well-known Picture Completion Task of the Torrance Test of Creative Thinking (TTCT), a widely used creative …	https://www.sciencedirect.com/science/article/pii/S0028393218300708	https://scholar.google.com/scholar?cites=7914184830057115138&as_sdt=2005&sciodt=2007&hl=en	91	2023-05-23 11:33:52	HTML								92	18.4	18	5	5	https://www.sciencedirect.com/science/article/pii/S0028393218300708	1	1	1	0		0		
66	DL Zabelina, D Condon, M Beeman	Do dimensional psychopathology measures relate to creative achievement or divergent thinking?	2014	Frontiers in psychology	frontiersin.org	Previous research provides disparate accounts of the putative association between creativity and psychopathology, including schizotypy, psychoticism, hypomania, bipolar disorder, …	https://www.frontiersin.org/articles/10.3389/fpsyg.2014.01029/full	https://scholar.google.com/scholar?cites=7080780144858141444&as_sdt=2005&sciodt=2007&hl=en	93	2023-05-23 11:33:52	HTML	10.3389/fpsyg.2014.01029							66	7.33	22	3	9	https://www.frontiersin.org/articles/10.3389/fpsyg.2014.01029/full	1	1	1	0		0		
2	Y Cheng	An examination of the relationship between creative potential and personality types among American and Taiwanese college students of teacher education	2007		commons.emich.edu	… The widely used Torrance Tests of Creative Thinking are based upon Torrance's product oriented, originality-based … The MBTI and the Torrance Tests of Creative Thinking (TTCT) …	https://commons.emich.edu/theses/171/	https://scholar.google.com/scholar?cites=8176880337913244608&as_sdt=2005&sciodt=2007&hl=en	96	2023-05-23 11:33:52									2	0.13	2	1	16	https://commons.emich.edu/cgi/viewcontent.cgi?article=1170&context=theses	1	1	1	0		0		
8	A Yousaf, S Ghayas	Impact of perceived social support and gender on creativity level of university undergraduates	2015	International Journal of Research Studies in …	academia.edu	The present study examined the impact of perceived social support and gender on creativity level in a sample of university undergraduates. The present study was conducted on …	https://www.academia.edu/download/50550165/Impact_of_perceived_social_support_and_g20161125-29656-1ww0umd.pdf	https://scholar.google.com/scholar?cites=3924675384412351547&as_sdt=2005&sciodt=2007&hl=en	97	2023-05-23 11:33:52	PDF								8	1	4	2	8	https://www.academia.edu/download/50550165/Impact_of_perceived_social_support_and_g20161125-29656-1ww0umd.pdf	1	1	1	0		0		
0	T Kanatschnig, C Rominger, A Fink, G Wood, SE Kober	Sensorimotor cortex activity during basketball dribbling and its relation to creativity	2023	Plos one	journals.plos.org	… Handedness of our participants was assessed by means of a modified version of the Edinburgh Handedness … For the assessment of figural DT, a subtest of the Torrance Tests of …	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0284122		98	2023-05-23 11:33:52	HTML								0	0	0	5	1	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0284122	1	1	1	0		0		
0	LANN GRAY	A Study of the Effects of Suggestopedy Upon Students in the Sixth Grade General Music Classes	1985		search.proquest.com	… In the fluency category of the Torrance tests, posttest- scores ranged from thirty to ninety-seven. The posttest mean and standard deviation for this category was 60.96 and 19*91, …	https://search.proquest.com/openview/00a473c07ec181d207437773b84a9e2b/1?pq-origsite=gscholar&cbl=18750&diss=y		100	2023-05-23 11:33:52	BOOK								0	0	0	1	38	https://search.proquest.com/openview/00a473c07ec181d207437773b84a9e2b/1?pq-origsite=gscholar&cbl=18750&diss=y	1	1	1	0		0		
4	I Aslan, K Weitz, R Schlagowski, S Flutura…	Creativity support and multimodal pen-based interaction	2019	2019 International …	dl.acm.org	… Figural Test in Torrance Tests of Creative Thinking [46] … Two participants were left handed. Participants were also asked to rate their own creativity skills on a five-point Likert scale. …	https://dl.acm.org/doi/abs/10.1145/3340555.3353738	https://scholar.google.com/scholar?cites=11121468400182738282&as_sdt=2005&sciodt=2007&hl=en	102	2023-05-23 11:33:52		10.1145/3340555.3353738							4	1	1	5	4	https://dl.acm.org/doi/pdf/10.1145/3340555.3353738	1	1	1	0		0		
5	JE Drake, S Simmons, S Rouser…	Artists excel on image activation but not image manipulation tasks	2021	Empirical Studies of …	journals.sagepub.com	… It may be possible that the Torrance tests were tapping into another aspect of creativity that was not developed in the Pratt curriculum. Two of our findings are consistent with previous …	https://journals.sagepub.com/doi/pdf/10.1177/0276237419868941	https://scholar.google.com/scholar?cites=13159346836982054825&as_sdt=2005&sciodt=2007&hl=en	103	2023-05-23 11:33:52	PDF	10.1177/0276237419868941							5	2.5	1	4	2	https://journals.sagepub.com/doi/pdf/10.1177/0276237419868941	1	1	1	0		0		
29	M Saggar, H Xie, RE Beaty, AD Stankov, M Schreier…	Creativity slumps and bumps: Examining the neurobehavioral basis of creativity development during middle childhood	2019	NeuroImage	Elsevier	… All participants were right-handed based on the Edinburgh Handedness Inventory. Participants were recruited through the local community using advertisements, and all participating …	https://www.sciencedirect.com/science/article/pii/S1053811919302794	https://scholar.google.com/scholar?cites=587953176869631109&as_sdt=2005&sciodt=2007&hl=en	106	2023-05-23 11:33:52	HTML								29	7.25	5	6	4	https://www.sciencedirect.com/science/article/pii/S1053811919302794	1	1	1	0		0		
3	HR Nikolajsen	Relaxation as the form of incubation in the creative thinking process	1988		search.proquest.com	… to right-handers because left-handers tend to have different language processing patterns than the typical projected left hemisphere language processing pattern of right-handers (…	https://search.proquest.com/openview/0a09da6ceabd2aa34fbe9a49db0ddf27/1?pq-origsite=gscholar&cbl=18750&diss=y	https://scholar.google.com/scholar?cites=9645579436561108280&as_sdt=2005&sciodt=2007&hl=en	108	2023-05-23 11:33:52	BOOK								3	0.09	3	1	35	https://search.proquest.com/openview/0a09da6ceabd2aa34fbe9a49db0ddf27/1?pq-origsite=gscholar&cbl=18750&diss=y	1	1	1	0		0		
0	J Peña, A Sampedro…	Comparing transcranial direct current stimulation and transcranial random noise stimulation over left dorsolateral prefrontal cortex and left inferior frontal gyrus …	2022	Frontiers in Human …	search.proquest.com	… We recruited 66 healthy and native Spanish speaking volunteers (aged 18 years or above) from the general population without restrictions on gender or handedness of participants. …	https://search.proquest.com/openview/669d51bda6eeb281c4f44eb6b2cde58e/1?pq-origsite=gscholar&cbl=4424408		113	2023-05-23 11:33:52	HTML								0	0	0	3	1	https://search.proquest.com/openview/669d51bda6eeb281c4f44eb6b2cde58e/1?pq-origsite=gscholar&cbl=4424408	1	1	1	0		0		
30	AV Kharkhurin	On the possible relationships between bilingualism, biculturalism and creativity: A cognitive perspective	2005		search.proquest.com	This study explores the hypothesis that bilingualism and/or biculturalism encourage divergent thinking and cognitive flexibility, which together facilitate creative thought. In the cross-…	https://search.proquest.com/openview/934f25090688f3cc2d798fc21cb90048/1?pq-origsite=gscholar&cbl=18750&diss=y	https://scholar.google.com/scholar?cites=10273228987833555683&as_sdt=2005&sciodt=2007&hl=en	115	2023-05-23 11:33:52	BOOK								30	1.67	30	1	18	https://search.proquest.com/openview/934f25090688f3cc2d798fc21cb90048/1?pq-origsite=gscholar&cbl=18750&diss=y	1	1	1	0		0		
0	OR Boxer	The relations among creativity, schizotypy, intellectual functioning, and latent inhibition in healthy adults	2009		search.proquest.com	… The Torrance tests built upon Guilford's model by including verbal and figural tasks of divergent thinking. Scoring of these tasks were subjective, and based on several domains of …	https://search.proquest.com/openview/91f0a6194aa4c85dde09fe8ac2b832bf/1?pq-origsite=gscholar&cbl=18750		117	2023-05-23 11:33:52	BOOK								0	0	0	1	14	https://search.proquest.com/openview/91f0a6194aa4c85dde09fe8ac2b832bf/1?pq-origsite=gscholar&cbl=18750	1	1	1	0		0		
70	RC Gur, J Reyher	Enhancement of creativity via free-imagery and hypnosis	1976	American Journal of Clinical Hypnosis	Taylor &Francis	Thirty-six male, highly susceptible subjects, divided into hypnosis, simulation and waking groups, were given the Torrance Test of Creativity with modified instructions requiring them to …	https://www.tandfonline.com/doi/abs/10.1080/00029157.1976.10403806	https://scholar.google.com/scholar?cites=18035290367134206687&as_sdt=2005&sciodt=2007&hl=en	118	2023-05-23 11:33:52		10.1080/00029157.1976.10403806							70	1.49	35	2	47	https://www.tandfonline.com/doi/pdf/10.1080/00029157.1976.10403806	1	1	1	0		0		
48	H Takeuchi, Y Taki, A Sekiguchi…	Mean diffusivity of globus pallidus associated with verbal creativity measured by divergent thinking and creativity‐related temperaments in young healthy adults	2015	Human brain …	Wiley Online Library	… Handedness was evaluated using the Edinburgh … These four dimensions correspond to the same concepts as those of the Torrance tests of creative thinking [Torrance, 1966]. …	https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.22739	https://scholar.google.com/scholar?cites=12485821882544067468&as_sdt=2005&sciodt=2007&hl=en	122	2023-05-23 11:33:52		10.1002/hbm.22739							48	6	12	4	8	https://onlinelibrary.wiley.com/doi/pdf/10.1002/hbm.22739	1	1	1	0		0		
2	N Gregg, C Hoy	Learning Disabled College Students' Figural Problem Solving Skills.	1984		ERIC	Performance of 25 learning disabled (LD) and 25 normally achieving college students on the Torrance Test of Creative Thinking (Figural) was compared. Group mean scores were …	https://eric.ed.gov/?id=ED289283	https://scholar.google.com/scholar?cites=9948687159147511173&as_sdt=2005&sciodt=2007&hl=en	130	2023-05-23 11:33:52									2	0.05	1	2	39	https://files.eric.ed.gov/fulltext/ED289283.pdf	1	1	1	0		0		
131	N Jaušovec, K Jaušovec	Differences in resting EEG related to ability	2000	Brain topography	Springer	The aim of the present study was to investigate the relationship between different EEG measures (mean power, mean frequency, approximated entropy and coherence), and ability (…	https://link.springer.com/article/10.1023/A:1023446024923	https://scholar.google.com/scholar?cites=5765865954462564085&as_sdt=2005&sciodt=2007&hl=en	131	2023-05-23 11:33:52		10.1023/A:1023446024923							131	5.7	66	2	23	https://link.springer.com/content/pdf/10.1023/A:1023446024923.pdf	1	1	1	0		0		
0	S THONGSRI	A STUDY OF THE ACUTE EFFECTS OF MUSIC LISTENING ON BRAIN ACTIVITIES UNDERLYING CREATIVITY AMONG GRADUATE STUDENTS	2017		164.115.28.46	… handedness is indicated by test index. The rate index below -40 indicates left-handed, … The participant with strongly left-handed or ambidextrous was excluded from the experiment…	http://164.115.28.46/thaiexen/file_upload/submitter/file_doc/3680f2033d5160fb5f7ecef96d0c62371bcd.pdf		133	2023-05-23 11:33:52	PDF								0	0	0	1	6	http://164.115.28.46/thaiexen/file_upload/submitter/file_doc/3680f2033d5160fb5f7ecef96d0c62371bcd.pdf	1	1	1	0		0		
4	S Ghayas, S Akhter, A Adil	Impact of gender and subject on the creativity level of high and low achievers	2012	Journal of the Indian Academy of …	academia.edu	The aim of the study was to find out effect of gender and subject on the creativity level of students. Furthermore it was aimed at finding out differences in creativity level between high and …	https://www.academia.edu/download/50550173/Impact_of_Gender_and_Subject_on_the_Crea20161125-29656-17jlvtj.pdf	https://scholar.google.com/scholar?cites=18439252523305140914&as_sdt=2005&sciodt=2007&hl=en	134	2023-05-23 11:33:52	PDF								4	0.36	1	3	11	https://www.academia.edu/download/50550173/Impact_of_Gender_and_Subject_on_the_Crea20161125-29656-17jlvtj.pdf	1	1	1	0		0		
4	A Sampedro, J Peña, P Sánchez, N Ibarretxe-Bilbao…	Cognitive, creative, functional, and clinical symptom improvements in schizophrenia after an integrative cognitive remediation program: a randomized …	2021	npj …	nature.com	… Handedness was assessed by means of the Edinburgh Handedness Inventory 86 . The following formula was used to estimate handedness consistency: right−left/right+left. …	https://www.nature.com/articles/s41537-021-00181-0	https://scholar.google.com/scholar?cites=12805797073617333851&as_sdt=2005&sciodt=2007&hl=en	136	2023-05-23 11:33:52	HTML								4	2	1	5	2	https://www.nature.com/articles/s41537-021-00181-0	1	1	1	0		0		
28	PD Madura	Relationships among vocal jazz improvisation achievement, jazz theory knowledge, imitative ability, previous musical experience, general creativity, and …	1992		search.proquest.com	… Handedness was measured by self report, familial handedness background, and scores on the Edinburgh Handedness Inventory. The sample of jazz improvisors did not differ …	https://search.proquest.com/openview/56f0169611a022cc6c2cf411747d02a8/1?pq-origsite=gscholar&cbl=18750&diss=y	https://scholar.google.com/scholar?cites=14250027734270285409&as_sdt=2005&sciodt=2007&hl=en	137	2023-05-23 11:33:52	BOOK								28	0.9	28	1	31	https://search.proquest.com/openview/56f0169611a022cc6c2cf411747d02a8/1?pq-origsite=gscholar&cbl=18750&diss=y	1	1	1	0		0		
56	SA Leon, LJP Altmann, L Abrams…	Divergent task performance in older adults: declarative memory or creative potential?	2014	Creativity research …	Taylor &Francis	… Participants were all right-handed (assessed using the Benton Handedness Questionnaire), native speakers of English, with at least 12 years of education, who were willing to …	https://www.tandfonline.com/doi/abs/10.1080/10400419.2014.873657	https://scholar.google.com/scholar?cites=16018318090956374828&as_sdt=2005&sciodt=2007&hl=en	141	2023-05-23 11:33:52		10.1080/10400419.2014.873657							56	6.22	14	4	9	https://www.tandfonline.com/doi/pdf/10.1080/10400419.2014.873657	1	1	1	0		0		
1	DJ Rubenstein	THE EFFECTS OF MEDIUM, CONTENT AND MODALITY PREFERENCE ON CREATIVE BEHAVIOR AND ATTITUDE	1987		search.proquest.com	… The TTCT-W and TTCT-P are separate verbal and visual forms of the Torrance Tests of Creative Thinking. They ask the student to creatively respond in writing or by drawing pictures to …	https://search.proquest.com/openview/2b060d4a71d74d72d9ceb8e2255efa95/1?pq-origsite=gscholar&cbl=18750&diss=y	https://scholar.google.com/scholar?cites=9607868722462956875&as_sdt=2005&sciodt=2007&hl=en	142	2023-05-23 11:33:52	BOOK								1	0.03	1	1	36	https://search.proquest.com/openview/2b060d4a71d74d72d9ceb8e2255efa95/1?pq-origsite=gscholar&cbl=18750&diss=y	1	1	1	0		0		
6	A Sampedro, J Peña, N Ibarretxe-Bilbao…	Brain white matter correlates of creativity in schizophrenia: a diffusion tensor imaging study	2020	Frontiers in …	frontiersin.org	… Handedness consistency was calculated using a formula (right − left/right + left), and the obtained scores ranged from 100 (perfectly right-handed) to −100 (perfectly left-handed). Mixed-…	https://www.frontiersin.org/articles/10.3389/fnins.2020.00572/full	https://scholar.google.com/scholar?cites=4859899361589129179&as_sdt=2005&sciodt=2007&hl=en	144	2023-05-23 11:33:52	HTML	10.3389/fnins.2020.00572							6	2	2	4	3	https://www.frontiersin.org/articles/10.3389/fnins.2020.00572/full	1	1	1	0		0		
46	RH Grabner, J Krenn, A Fink, M Arendasy, M Benedek	Effects of alpha and gamma transcranial alternating current stimulation (tACS) on verbal creativity and intelligence test performance	2018	Neuropsychologia	Elsevier	… After giving written informed consent, participants filled in a demographic questionnaire and completed the handedness questionnaire as well as the … Torrance tests of creative thinking …	https://www.sciencedirect.com/science/article/pii/S0028393217304116	https://scholar.google.com/scholar?cites=6728020632653284509&as_sdt=2005&sciodt=2007&hl=en	146	2023-05-23 11:33:52	HTML								46	9.2	9	5	5	https://www.sciencedirect.com/science/article/pii/S0028393217304116	1	1	1	0		0		
7	A Gaggioli, EM Falletta, F Ferrise, S Graziosi…	Effects of interpersonal sensorimotor synchronization on dyadic creativity: Gender matters	2019	Frontiers in …	frontiersin.org	… We controlled this dimension in order to match people with same handedness. The Cognitive Style Indicator (CoSI) (Cools and Van den Broeck, 2007) was used to control for the …	https://www.frontiersin.org/articles/10.3389/fpsyg.2018.02604/full	https://scholar.google.com/scholar?cites=14528049227547976378&as_sdt=2005&sciodt=2007&hl=en	151	2023-05-23 11:33:52	HTML	10.3389/fpsyg.2018.02604							7	1.75	1	5	4	https://www.frontiersin.org/articles/10.3389/fpsyg.2018.02604/full	1	1	1	0		0		
27	G Hawthorne, EM Quintin, M Saggar, N Bott…	Impact and sustainability of creative capacity building: the cognitive, behavioral, and neural correlates of increasing creative capacity	2014	… : Building Innovation Eco …	Springer	The impact and sustainability of creative capacity building over time is examined using both neural and psychological approaches. Our research proposes a unique experimental …	https://link.springer.com/chapter/10.1007/978-3-319-01303-9_5	https://scholar.google.com/scholar?cites=7051751810313510602&as_sdt=2005&sciodt=2007&hl=en	153	2023-05-23 11:33:52		10.1007/978-3-319-01303-9_5							27	3	5	5	9		1	1	1	0		0		
4	H Takeuchi, Y Taki, Y Sassa, A Sekiguchi…	The associations between regional gray matter structural changes and changes of cognitive performance in control groups of intervention studies	2015	Frontiers in human …	frontiersin.org	… Handedness was evaluated using the Edinburgh Handedness Inventory (Oldfield, 1971). The studies were conducted in accordance with the Declaration of Helsinki (1991). Written …	https://www.frontiersin.org/articles/10.3389/fnhum.2015.00681/full	https://scholar.google.com/scholar?cites=4193078376162442850&as_sdt=2005&sciodt=2007&hl=en	155	2023-05-23 11:33:52	HTML	10.3389/fnhum.2015.00681							4	0.5	1	5	8	https://www.frontiersin.org/articles/10.3389/fnhum.2015.00681/full	1	1	1	0		0		
3	JS SCHLESINGER	Hemisphericity, field dependence/independence, and preference for musical improvisation: Relationships among cognitive and musical styles	1985		search.proquest.com	… handedness screening instrument which has been extensively correlated with behavioral measures of handedness … Interestingly, the proportion of left-handers in this study is equivalent …	https://search.proquest.com/openview/a04633e68c5a0e60534525382f3fffd1/1?pq-origsite=gscholar&cbl=18750&diss=y	https://scholar.google.com/scholar?cites=699456649329816077&as_sdt=2005&sciodt=2007&hl=en	156	2023-05-23 11:33:52	BOOK								3	0.08	3	1	38	https://search.proquest.com/openview/a04633e68c5a0e60534525382f3fffd1/1?pq-origsite=gscholar&cbl=18750&diss=y	1	1	1	0		0		
1	CM Conway	The effects of a training intervention designed to develop creativity within individuals on figural creativity and hemispheric brain dominance	1994		search.proquest.com	… and elaboration as measured by the figural Torrance Tests of Creatıve Thınking (TTCT) and … wıthun the HBDI These are defined as Handedness (right or left hand preference and use), …	https://search.proquest.com/openview/305a2b474de2fd99b73afd79cb863c08/1?pq-origsite=gscholar&cbl=18750&diss=y	https://scholar.google.com/scholar?cites=5266976792819613570&as_sdt=2005&sciodt=2007&hl=en	157	2023-05-23 11:33:52	BOOK								1	0.03	1	1	29	https://search.proquest.com/openview/305a2b474de2fd99b73afd79cb863c08/1?pq-origsite=gscholar&cbl=18750&diss=y	1	1	1	0		0		
0	BP Jayanath	Study of Creativity as an Endophenotype in Bipolar Affective Disorder	2016		search.proquest.com	… personality and Torrance Tests of Creative Thinking values. It was observed in this study that Neuroticism and Openness was related to BWAS scores but not with Torrance Tests of …	https://search.proquest.com/openview/62a8fd738e22b8c24a031e26a3391f2c/1?pq-origsite=gscholar&cbl=18750&diss=y		162	2023-05-23 11:33:52	HTML								0	0	0	1	7	https://search.proquest.com/openview/62a8fd738e22b8c24a031e26a3391f2c/1?pq-origsite=gscholar&cbl=18750&diss=y	1	1	1	0		0		
0	L Alexandre-Leclair	Diversity and Entrepreneurship	2020	Encyclopedia of Creativity, Invention, Innovation and …	Springer	… A review of the Torrance Tests of Creative Thinking (TTCT). Creat Res J. 2006;18:3–14. … The creativity crisis: the decrease in creative thinking scores on the Torrance Tests of Creative …	https://link.springer.com/content/pdf/10.1007/978-3-319-15347-6_461.pdf		163	2023-05-23 11:33:52		10.1007/978-3-319-15347-6_461							0	0	0	1	3		1	1	1	0		0		
37	C Charyton	Creative engineering design assessment: background, directions, manual, scoring guide and uses	2013		books.google.com	… This approach is unique especially in comparison with the Torrance Tests of Creative Thinking (TTCT), which is very structured and has received criticism for not reflecting ‘‘real-world’’ …	https://books.google.com/books?hl=en&lr=&id=7n68BAAAQBAJ&oi=fnd&pg=PR9&dq=%22torrance+tests%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&ots=ThuydYVsKp&sig=gHuFiOqGlcZZuDd1hToAE2eu9zk	https://scholar.google.com/scholar?cites=13946985116779434818&as_sdt=2005&sciodt=2007&hl=en	164	2023-05-23 11:33:52	BOOK								37	3.7	37	1	10	http://hozekf.oerp.ir/sites/hozekf.oerp.ir/files/kar_fanavari/manabe%20book/Thinking/Creative%20Engineering%20Design%20Assessment_%20Background%2C%20Directions%2C%20Manual%2C%20Scoring%20Guide%20and%20Uses-Springer-Verlag%20London%20%2820.pdf	1	1	1	0		0		
4	NG Binh	Creativity and Innovation in Education: The Effects of Problem-based Learning on the Creative Thinking Abilities of University Students in a General …	2013		books.google.com	… A widely used creativity assessment is the Torrance Tests of Creative Thinking (TTCT). The TTCT were developed by Torrance and his associates in the 1950s, and ﬁrst published in …	https://books.google.com/books?hl=en&lr=&id=lILTxWtVw3UC&oi=fnd&pg=PR11&dq=%22torrance+tests%22+handedness%7C%22left+handed%22%7C%22left+hander%22%7C%22inconsistent+handed%22%7C%22inconsistent+hander%22&ots=cozRQKcdaY&sig=3cPy39sTuC9ET1mW0ufUaTpr4TQ	https://scholar.google.com/scholar?cites=6292311155969370481&as_sdt=2005&sciodt=2007&hl=en	168	2023-05-23 11:33:52	BOOK								4	0.4	4	1	10	https://www.utzverlag.de/assets/pdf/44311dbl.pdf	1	1	1	0		0		
0	MB Kraft	CONCEPTUALIZATION TRAINING: FOR CREATIVITY AND ACADEMIC ACHIEVEMENT.	1979		search.proquest.com	… In conclusion, the research has demonstrated that the Torrance Tests of Creative Thinking should be used with considerable caution except for purposes of exploratory research. …	https://search.proquest.com/openview/c5701dff02ef880a61c179039b75c34e/1?pq-origsite=gscholar&cbl=18750&diss=y		170	2023-05-23 11:33:52	BOOK								0	0	0	1	44	https://search.proquest.com/openview/c5701dff02ef880a61c179039b75c34e/1?pq-origsite=gscholar&cbl=18750&diss=y	1	1	1	0		0		
