task,es_type,measure,N,N_stu,lower,effect,upper,p,I2,model_type,label,metagen_obj
all,d,Fluency,6,5,-0.35607611830778474,-0.11451426811675822,0.12704758207426828,0.35281854547057795,".55 [.00, .82]",random,"All studies by measure, ES type",
all,rho,Fluency,4,2,-0.08907855862415996,0.008358142497173957,0.10579484361850787,0.8664840306215925,".00 [.00, .85]",random,"All studies by measure, ES type",
all,rho_p,Fluency,1,1,0.05670682210609573,0.07745966692414834,0.09821251174220094,2.56358426067989e-13,"NA [NA, NA]",random,"All studies by measure, ES type",
all,d,Originality,4,3,-0.7750882373155373,-0.34963933668777275,0.07580956393999183,0.10724001915710377,".74 [.26, .91]",random,"All studies by measure, ES type",
all,d_p,Originality,1,1,-1.0497747742902486,-0.8684962373468951,-0.6872177004035416,5.995036325823283e-21,"NA [NA, NA]",random,"All studies by measure, ES type",
all,rho,Originality,4,2,-0.07233987634967357,0.025002634938731956,0.12234514622713746,0.6146683128782414,".00 [.00, .85]",random,"All studies by measure, ES type",
all,rho_p,Originality,1,1,0.06298330963274727,0.08366600265340755,0.10434869567406783,2.218414436753376e-15,"NA [NA, NA]",random,"All studies by measure, ES type",
AUT,all,all,7,4,0.05988067134745964,0.07188393166056067,0.0838871919736617,8.173801635764968e-32,".41 [.00, .75]",fixed,All studies by task,
RAT,all,all,6,5,-0.06581271654159951,0.03911204563909788,0.14403680781979528,0.46502252464551197,".00 [.00, .75]",fixed,All studies by task,
TTCT(F),all,all,18,5,-0.30759710438463167,-0.25139631688347963,-0.1951955293823276,1.830432650412887e-18,".94 [.92, .96]",fixed,All studies by task,
TTCT(V),all,all,9,3,-0.07707547951269623,0.0013203635575779874,0.07971620662785221,0.9736664276065847,".00 [.00, .65]",fixed,All studies by task,
AUT,all,all,7,4,0.05461548372843053,0.07141295853986336,0.08821043335129619,7.907852345023569e-17,".41 [.00, .75]",random,All studies by task,
RAT,all,all,6,5,-0.06581271654159951,0.03911204563909788,0.14403680781979528,0.46502252464551197,".00 [.00, .75]",random,All studies by task,
TTCT(F),all,all,18,5,-0.5476889952354107,-0.32279852537122056,-0.09790805550703041,0.004904325454306029,".94 [.92, .96]",random,All studies by task,
TTCT(V),all,all,9,3,-0.07707547951269623,0.0013203635575779874,0.07971620662785221,0.9736664276065847,".00 [.00, .65]",random,All studies by task,
AUT,d,all,4,3,-0.10155081571190974,0.029693282453264143,0.16093738061843801,0.6574536730183571,".48 [.00, .83]",fixed,"All studies by task, ES type",
AUT,rho_p,all,3,1,0.06018603323880531,0.07223981119711553,0.08429358915542576,7.376926109375831e-32,".50 [.00, .86]",fixed,"All studies by task, ES type",
RAT,d,all,3,2,-0.22354975239672928,-0.01099122731167463,0.20156729777338003,0.9192741082310871,".00 [.00, .90]",fixed,"All studies by task, ES type",
RAT,rho,all,3,3,-0.06539459908429965,0.05525387276173076,0.17590234460776116,0.36939206568097305,".00 [.00, .90]",fixed,"All studies by task, ES type",
TTCT(F),d,all,8,2,-0.6621847146251827,-0.5237826878609443,-0.38538066109670593,1.1936359779182514e-13,".00 [.00, .68]",fixed,"All studies by task, ES type",
TTCT(F),d_p,all,2,1,-1.2942032184415744,-1.1569379888268376,-1.0196727592121009,2.6546787726055045e-61,".96 [.87, .98]",fixed,"All studies by task, ES type",
TTCT(F),rho,all,8,2,-0.02547115991548165,0.0433188648716662,0.11210888965881405,0.21711340610855046,".00 [.00, .68]",fixed,"All studies by task, ES type",
TTCT(V),d,all,3,1,-0.49938976832300613,-0.035971786447874896,0.4274461954272563,0.8790782278755993,".00 [.00, .90]",fixed,"All studies by task, ES type",
TTCT(V),rho,all,6,2,-0.0771232432677242,0.002419034675210732,0.08196131261814567,0.9524692010288671,".00 [.00, .75]",fixed,"All studies by task, ES type",
AUT,d,all,4,3,-0.10157951904644416,0.029684028376168934,0.16094757579878202,0.6576011204750212,".48 [.00, .83]",random,"All studies by task, ES type",
AUT,rho_p,all,3,1,0.05500745078880702,0.07210312988924182,0.08919880898967662,1.3807722528817279e-16,".50 [.00, .86]",random,"All studies by task, ES type",
RAT,d,all,3,2,-0.22354975239672928,-0.01099122731167463,0.20156729777338003,0.9192741082310871,".00 [.00, .90]",random,"All studies by task, ES type",
RAT,rho,all,3,3,-0.06539459908429965,0.05525387276173076,0.17590234460776116,0.36939206568097305,".00 [.00, .90]",random,"All studies by task, ES type",
TTCT(F),d,all,8,2,-0.6883016420563206,-0.5242390129142217,-0.3601763837721228,3.7815280899796037e-10,".00 [.00, .68]",random,"All studies by task, ES type",
TTCT(F),d_p,all,2,1,-1.8668923065061382,-1.2043602701307887,-0.5418282337554393,3.668492875365158e-4,".96 [.87, .98]",random,"All studies by task, ES type",
TTCT(F),rho,all,8,2,-0.02547115991548165,0.0433188648716662,0.11210888965881405,0.21711340610855046,".00 [.00, .68]",random,"All studies by task, ES type",
TTCT(V),d,all,3,1,-0.49938976832300613,-0.035971786447874896,0.4274461954272563,0.8790782278755993,".00 [.00, .90]",random,"All studies by task, ES type",
TTCT(V),rho,all,6,2,-0.0771232432677242,0.002419034675210732,0.08196131261814567,0.9524692010288671,".00 [.00, .75]",random,"All studies by task, ES type",
AUT,all,Fluency,4,4,0.055949543763500365,0.07648761646506089,0.09702568916662141,2.893294675725078e-13,".51 [.00, .84]",fixed,"All studies by task, measure",
AUT,all,Originality,2,2,0.06279995424468177,0.0834418942716013,0.10408383429852083,2.32117316990051e-15,".00 [NA, NA]",fixed,"All studies by task, measure",
AUT,all,Originality/Fluency,1,1,0.03356289131346,0.05477225575051661,0.07598162018757323,4.1592438876586344e-7,"NA [NA, NA]",fixed,"All studies by task, measure",
RAT,all,"Problems solved out of 20, untimed",1,1,-0.40178718238583455,0.12063490110499632,0.6430569845958272,0.6508480668211591,"NA [NA, NA]",fixed,"All studies by task, measure",
RAT,all,Problems solved out of 21,1,1,-0.4050434542801066,-0.07585116934575273,0.25334111558860106,0.6515520827707526,"NA [NA, NA]",fixed,"All studies by task, measure",
RAT,all,Problems solved out of 30 in 40 minutes,2,2,-0.08639624934558549,0.050902810661229425,0.18820187066804434,0.4674434533636255,".00 [NA, NA]",fixed,"All studies by task, measure",
RAT,all,Reaction time,1,1,-0.3273663085076586,0.0015869452743231,0.33054019905630483,0.9924558651062857,"NA [NA, NA]",fixed,"All studies by task, measure",
RAT,all,Total problems solved in 15 minutes,1,1,-0.1827603287154174,0.07000000000000003,0.3227603287154175,0.5872697676024159,"NA [NA, NA]",fixed,"All studies by task, measure",
TTCT(F),all,Elaboration,5,5,-0.570561976566456,-0.4640056236300164,-0.35744927069357685,1.404305631622282e-17,".97 [.96, .98]",fixed,"All studies by task, measure",
TTCT(F),all,Flexibility,4,4,-0.16508527702395104,-0.04234965961609419,0.08038595779176266,0.49886203881501034,".64 [.00, .88]",fixed,"All studies by task, measure",
TTCT(F),all,Fluency,4,4,-0.1688445301836376,-0.04610992516506454,0.07662467985350853,0.46152681513768645,".41 [.00, .80]",fixed,"All studies by task, measure",
TTCT(F),all,Originality,5,5,-0.4452690380664887,-0.34308061556130415,-0.24089219305611959,4.696491500254528e-11,".94 [.89, .97]",fixed,"All studies by task, measure",
TTCT(V),all,Flexibility,3,3,-0.12911261616331698,0.006624659449847568,0.14236193506301215,0.9237937342791093,".00 [.00, .90]",fixed,"All studies by task, measure",
TTCT(V),all,Fluency,3,3,-0.13991747108353575,-0.004071342121132389,0.13177478684127097,0.9531587163174524,".00 [.00, .90]",fixed,"All studies by task, measure",
TTCT(V),all,Originality,3,3,-0.13437423520340247,0.001399178019735144,0.13717259124287273,0.9838854989676604,".00 [.00, .90]",fixed,"All studies by task, measure",
AUT,all,Fluency,4,4,0.05548350665556462,0.07644708570461227,0.09741066475365992,8.848453567566616e-13,".51 [.00, .84]",random,"All studies by task, measure",
AUT,all,Originality,2,2,0.06279995424468177,0.0834418942716013,0.10408383429852083,2.32117316990051e-15,".00 [NA, NA]",random,"All studies by task, measure",
AUT,all,Originality/Fluency,1,1,0.03356289131346,0.05477225575051661,0.07598162018757323,4.1592438876586344e-7,"NA [NA, NA]",random,"All studies by task, measure",
RAT,all,"Problems solved out of 20, untimed",1,1,-0.40178718238583455,0.12063490110499632,0.6430569845958272,0.6508480668211591,"NA [NA, NA]",random,"All studies by task, measure",
RAT,all,Problems solved out of 21,1,1,-0.4050434542801066,-0.07585116934575273,0.25334111558860106,0.6515520827707526,"NA [NA, NA]",random,"All studies by task, measure",
RAT,all,Problems solved out of 30 in 40 minutes,2,2,-0.08639624934558549,0.050902810661229425,0.18820187066804434,0.4674434533636255,".00 [NA, NA]",random,"All studies by task, measure",
RAT,all,Reaction time,1,1,-0.3273663085076586,0.0015869452743231,0.33054019905630483,0.9924558651062857,"NA [NA, NA]",random,"All studies by task, measure",
RAT,all,Total problems solved in 15 minutes,1,1,-0.1827603287154174,0.07000000000000003,0.3227603287154175,0.5872697676024159,"NA [NA, NA]",random,"All studies by task, measure",
TTCT(F),all,Elaboration,5,5,-1.17559481883148,-0.5577979567374083,0.05999890535666341,0.07679094438914057,".97 [.96, .98]",random,"All studies by task, measure",
TTCT(F),all,Flexibility,4,4,-0.3594313475214165,-0.10468804995967726,0.15005524760206193,0.4205559305594795,".64 [.00, .88]",random,"All studies by task, measure",
TTCT(F),all,Fluency,4,4,-0.26737580363159724,-0.07764791553499571,0.11207997256160583,0.4224756684410437,".41 [.00, .80]",random,"All studies by task, measure",
TTCT(F),all,Originality,5,5,-0.8071636492455793,-0.3921274984340072,0.022908652377564898,0.06405737540353808,".94 [.89, .97]",random,"All studies by task, measure",
TTCT(V),all,Flexibility,3,3,-0.12911261616331698,0.006624659449847568,0.14236193506301215,0.9237937342791093,".00 [.00, .90]",random,"All studies by task, measure",
TTCT(V),all,Fluency,3,3,-0.13991747108353575,-0.004071342121132389,0.13177478684127097,0.9531587163174524,".00 [.00, .90]",random,"All studies by task, measure",
TTCT(V),all,Originality,3,3,-0.13437423520340247,0.001399178019735144,0.13717259124287273,0.9838854989676604,".00 [.00, .90]",random,"All studies by task, measure",
AUT,d,Fluency,3,3,-0.11287475327655533,0.030252095751796743,0.1733789447801488,0.6786771064731998,".65 [.00, .90]",fixed,"All studies by task, measure, ES type",
AUT,rho_p,Fluency,1,1,0.05670682210609573,0.07745966692414834,0.09821251174220094,2.56358426067989e-13,"NA [NA, NA]",fixed,"All studies by task, measure, ES type",
AUT,d,Originality,1,1,-0.30224199902281534,0.02674090972788492,0.35572381847858514,0.8734223608543245,"NA [NA, NA]",fixed,"All studies by task, measure, ES type",
AUT,rho_p,Originality,1,1,0.06298330963274727,0.08366600265340755,0.10434869567406783,2.218414436753376e-15,"NA [NA, NA]",fixed,"All studies by task, measure, ES type",
AUT,rho_p,Originality/Fluency,1,1,0.03356289131346,0.05477225575051661,0.07598162018757323,4.1592438876586344e-7,"NA [NA, NA]",fixed,"All studies by task, measure, ES type",
RAT,d,"Problems solved out of 20, untimed",1,1,-0.40178718238583455,0.12063490110499632,0.6430569845958272,0.6508480668211591,"NA [NA, NA]",fixed,"All studies by task, measure, ES type",
RAT,d,Problems solved out of 21,1,1,-0.4050434542801066,-0.07585116934575273,0.25334111558860106,0.6515520827707526,"NA [NA, NA]",fixed,"All studies by task, measure, ES type",
RAT,rho,Problems solved out of 30 in 40 minutes,2,2,-0.08639624934558549,0.050902810661229425,0.18820187066804434,0.4674434533636255,".00 [NA, NA]",fixed,"All studies by task, measure, ES type",
RAT,d,Reaction time,1,1,-0.3273663085076586,0.0015869452743231,0.33054019905630483,0.9924558651062857,"NA [NA, NA]",fixed,"All studies by task, measure, ES type",
RAT,rho,Total problems solved in 15 minutes,1,1,-0.1827603287154174,0.07000000000000003,0.3227603287154175,0.5872697676024159,"NA [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(F),d,Elaboration,2,2,-0.9793436670857965,-0.6966888435445057,-0.41403402000321493,1.3589828943334617e-6,".00 [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(F),d_p,Elaboration,1,1,-1.7547262348079204,-1.544575762374344,-1.3344252899407674,4.781686241831911e-47,"NA [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(F),rho,Elaboration,2,2,-0.08402312420259395,0.053450578976469994,0.19092428215553392,0.44603287955512894,".00 [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(F),d,Flexibility,2,2,-0.673598378510472,-0.4014868297466791,-0.12937528098288625,0.003830078759064579,".00 [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(F),rho,Flexibility,2,2,-0.08814278819496404,0.049376229035931085,0.18689524626682621,0.48160377560203393,".00 [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(F),d,Fluency,2,2,-0.5940743858491949,-0.32383193624772444,-0.05358948664625396,0.01884273122380094,".00 [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(F),rho,Fluency,2,2,-0.11170103826038186,0.026060962972818177,0.16382296420601822,0.7108059732119196,".00 [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(F),d,Originality,2,2,-0.9848937525353594,-0.7019441957229107,-0.418994638910462,1.160301864080221e-6,".00 [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(F),d_p,Originality,1,1,-1.0497747742902486,-0.8684962373468951,-0.6872177004035416,5.995036325823283e-21,"NA [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(F),rho,Originality,2,2,-0.09324513579172168,0.04432086739750875,0.1818868705867392,0.5277403870845441,".00 [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(V),d,Flexibility,1,1,-0.9431908868371606,-0.1409272301646762,0.6613364265078081,0.7306273217709431,"NA [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(V),rho,Flexibility,2,2,-0.1267498419347147,0.01097298867684764,0.14869581928841,0.8759076756897215,".00 [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(V),d,Fluency,1,1,-0.6277216949337902,0.17570837962262056,0.9791384541790312,0.6681853864069519,"NA [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(V),rho,Fluency,2,2,-0.14719295388849102,-0.009362321087070077,0.12846831171435086,0.8940881598840051,".00 [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(V),d,Originality,1,1,-0.9443898907512887,-0.14209150772064907,0.6602068753099906,0.7285007727547247,"NA [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(V),rho,Originality,2,2,-0.13213063651383777,0.005629765503742414,0.1433901675213226,0.9361604394973573,".00 [NA, NA]",fixed,"All studies by task, measure, ES type",
AUT,d,Fluency,3,3,-0.43612643653561817,-0.06746148363920962,0.30120346925719893,0.7198561398457535,".65 [.00, .90]",random,"All studies by task, measure, ES type",
AUT,rho_p,Fluency,1,1,0.05670682210609573,0.07745966692414834,0.09821251174220094,2.56358426067989e-13,"NA [NA, NA]",random,"All studies by task, measure, ES type",
AUT,d,Originality,1,1,-0.30224199902281534,0.02674090972788492,0.35572381847858514,0.8734223608543245,"NA [NA, NA]",random,"All studies by task, measure, ES type",
AUT,rho_p,Originality,1,1,0.06298330963274727,0.08366600265340755,0.10434869567406783,2.218414436753376e-15,"NA [NA, NA]",random,"All studies by task, measure, ES type",
AUT,rho_p,Originality/Fluency,1,1,0.03356289131346,0.05477225575051661,0.07598162018757323,4.1592438876586344e-7,"NA [NA, NA]",random,"All studies by task, measure, ES type",
RAT,d,"Problems solved out of 20, untimed",1,1,-0.40178718238583455,0.12063490110499632,0.6430569845958272,0.6508480668211591,"NA [NA, NA]",random,"All studies by task, measure, ES type",
RAT,d,Problems solved out of 21,1,1,-0.4050434542801066,-0.07585116934575273,0.25334111558860106,0.6515520827707526,"NA [NA, NA]",random,"All studies by task, measure, ES type",
RAT,rho,Problems solved out of 30 in 40 minutes,2,2,-0.08639624934558549,0.050902810661229425,0.18820187066804434,0.4674434533636255,".00 [NA, NA]",random,"All studies by task, measure, ES type",
RAT,d,Reaction time,1,1,-0.3273663085076586,0.0015869452743231,0.33054019905630483,0.9924558651062857,"NA [NA, NA]",random,"All studies by task, measure, ES type",
RAT,rho,Total problems solved in 15 minutes,1,1,-0.1827603287154174,0.07000000000000003,0.3227603287154175,0.5872697676024159,"NA [NA, NA]",random,"All studies by task, measure, ES type",
TTCT(F),d,Elaboration,2,2,-0.9793436670857965,-0.6966888435445057,-0.41403402000321493,1.3589828943334617e-6,".00 [NA, NA]",random,"All studies by task, measure, ES type",
TTCT(F),d_p,Elaboration,1,1,-1.7547262348079204,-1.544575762374344,-1.3344252899407674,4.781686241831911e-47,"NA [NA, NA]",random,"All studies by task, measure, ES type",
TTCT(F),rho,Elaboration,2,2,-0.08402312420259395,0.053450578976469994,0.19092428215553392,0.44603287955512894,".00 [NA, NA]",random,"All studies by task, measure, ES type",
TTCT(F),d,Flexibility,2,2,-0.673598378510472,-0.4014868297466791,-0.12937528098288625,0.003830078759064579,".00 [NA, NA]",random,"All studies by task, measure, ES type",
TTCT(F),rho,Flexibility,2,2,-0.08814278819496404,0.049376229035931085,0.18689524626682621,0.48160377560203393,".00 [NA, NA]",random,"All studies by task, measure, ES type",
TTCT(F),d,Fluency,2,2,-0.5940743858491949,-0.32383193624772444,-0.05358948664625396,0.01884273122380094,".00 [NA, NA]",random,"All studies by task, measure, ES type",
TTCT(F),rho,Fluency,2,2,-0.11170103826038186,0.026060962972818177,0.16382296420601822,0.7108059732119196,".00 [NA, NA]",random,"All studies by task, measure, ES type",
TTCT(F),d,Originality,2,2,-0.9848937525353594,-0.7019441957229107,-0.418994638910462,1.160301864080221e-6,".00 [NA, NA]",random,"All studies by task, measure, ES type",
TTCT(F),d_p,Originality,1,1,-1.0497747742902486,-0.8684962373468951,-0.6872177004035416,5.995036325823283e-21,"NA [NA, NA]",random,"All studies by task, measure, ES type",
TTCT(F),rho,Originality,2,2,-0.09324513579172168,0.04432086739750875,0.1818868705867392,0.5277403870845441,".00 [NA, NA]",random,"All studies by task, measure, ES type",
TTCT(V),d,Flexibility,1,1,-0.9431908868371606,-0.1409272301646762,0.6613364265078081,0.7306273217709431,"NA [NA, NA]",random,"All studies by task, measure, ES type",
TTCT(V),rho,Flexibility,2,2,-0.1267498419347147,0.01097298867684764,0.14869581928841,0.8759076756897215,".00 [NA, NA]",random,"All studies by task, measure, ES type",
TTCT(V),d,Fluency,1,1,-0.6277216949337902,0.17570837962262056,0.9791384541790312,0.6681853864069519,"NA [NA, NA]",random,"All studies by task, measure, ES type",
TTCT(V),rho,Fluency,2,2,-0.14719295388849102,-0.009362321087070077,0.12846831171435086,0.8940881598840051,".00 [NA, NA]",random,"All studies by task, measure, ES type",
TTCT(V),d,Originality,1,1,-0.9443898907512887,-0.14209150772064907,0.6602068753099906,0.7285007727547247,"NA [NA, NA]",random,"All studies by task, measure, ES type",
TTCT(V),rho,Originality,2,2,-0.13213063651383777,0.005629765503742414,0.1433901675213226,0.9361604394973573,".00 [NA, NA]",random,"All studies by task, measure, ES type",
