task,es_type,measure,N,N_stu,lower,effect,upper,p,I2,model_type,label,metagen_obj
all,d,Flexibility,5,4,-0.5574645809898,-0.33138697309689946,-0.10530936520399894,0.004066763000512703,".53 [.00, .83]",fixed,"All studies by measure, ES type",
all,rho,Flexibility,4,2,-0.06710956250697546,0.030203045992732328,0.12751565449244012,0.5429774641077739,".00 [.00, .85]",fixed,"All studies by measure, ES type",
all,beta,Fluency,1,1,0.15256965137356582,0.305,0.45743034862643417,8.791943857824772e-5,"NA [NA, NA]",fixed,"All studies by measure, ES type",
all,d,Fluency,9,7,-0.07020279924552805,0.027562204934719406,0.12532720911496686,0.5805654510204541,".63 [.24, .82]",fixed,"All studies by measure, ES type",
all,rho,Fluency,4,2,-0.08907855862415996,0.008358142497173957,0.10579484361850787,0.8664840306215925,".00 [.00, .85]",fixed,"All studies by measure, ES type",
all,rho_p,Fluency,1,1,0.05670682210609573,0.07745966692414834,0.09821251174220094,2.56358426067989e-13,"NA [NA, NA]",fixed,"All studies by measure, ES type",
all,beta,Originality,1,1,0.7123251919867464,1.424,2.1356748080132535,8.791943857824837e-5,"NA [NA, NA]",fixed,"All studies by measure, ES type",
all,d,Originality,6,5,-0.5320312577208647,-0.34235235965449123,-0.15267346158811776,4.038600577799913e-4,".75 [.42, .89]",fixed,"All studies by measure, ES type",
all,d_p,Originality,1,1,-1.0497747742902486,-0.8684962373468951,-0.6872177004035416,5.995036325823283e-21,"NA [NA, NA]",fixed,"All studies by measure, ES type",
all,rho,Originality,4,2,-0.07233987634967357,0.025002634938731956,0.12234514622713746,0.6146683128782414,".00 [.00, .85]",fixed,"All studies by measure, ES type",
all,rho_p,Originality,1,1,0.06298330963274727,0.08366600265340755,0.10434869567406783,2.218414436753376e-15,"NA [NA, NA]",fixed,"All studies by measure, ES type",
all,d,Appropriateness,2,2,-1.893126712716331,-0.3447136275624017,1.2036994575915276,0.6625939390993565,".89 [.60, .97]",random,"All studies by measure, ES type",
all,d,Elaboration,4,4,-1.0048905107641681,-0.4818014350497139,0.04128764066474039,0.07103350481834651,".69 [.09, .89]",random,"All studies by measure, ES type",
all,d_p,Elaboration,1,1,-1.7547262348079204,-1.544575762374344,-1.3344252899407674,4.781686241831911e-47,"NA [NA, NA]",random,"All studies by measure, ES type",
all,rho,Elaboration,2,2,-0.08402312420259395,0.053450578976469994,0.19092428215553392,0.44603287955512894,".00 [NA, NA]",random,"All studies by measure, ES type",
all,d,Flexibility,5,4,-0.7342628506902265,-0.32245292751975557,0.08935699565071531,0.12486264680359391,".53 [.00, .83]",random,"All studies by measure, ES type",
all,rho,Flexibility,4,2,-0.06710956250697546,0.030203045992732328,0.12751565449244012,0.5429774641077739,".00 [.00, .85]",random,"All studies by measure, ES type",
all,beta,Fluency,1,1,0.15256965137356582,0.305,0.45743034862643417,8.791943857824772e-5,"NA [NA, NA]",random,"All studies by measure, ES type",
all,d,Fluency,9,7,-0.2838830009067399,-0.05644247471449867,0.17099805147774255,0.6266893699220912,".63 [.24, .82]",random,"All studies by measure, ES type",
all,rho,Fluency,4,2,-0.08907855862415996,0.008358142497173957,0.10579484361850787,0.8664840306215925,".00 [.00, .85]",random,"All studies by measure, ES type",
all,rho_p,Fluency,1,1,0.05670682210609573,0.07745966692414834,0.09821251174220094,2.56358426067989e-13,"NA [NA, NA]",random,"All studies by measure, ES type",
all,beta,Originality,1,1,0.7123251919867464,1.424,2.1356748080132535,8.791943857824837e-5,"NA [NA, NA]",random,"All studies by measure, ES type",
all,d,Originality,6,5,-0.75638552174157625,-0.3391694269927835,0.07804666775600921,0.11108782381189597,".75 [.42, .89]",random,"All studies by measure, ES type",
all,d_p,Originality,1,1,-1.0497747742902486,-0.8684962373468951,-0.6872177004035416,5.995036325823283e-21,"NA [NA, NA]",random,"All studies by measure, ES type",
all,rho,Originality,4,2,-0.07233987634967357,0.025002634938731956,0.12234514622713746,0.6146683128782414,".00 [.00, .85]",random,"All studies by measure, ES type",
all,rho_p,Originality,1,1,0.06298330963274727,0.08366600265340755,0.10434869567406783,2.218414436753376e-15,"NA [NA, NA]",random,"All studies by measure, ES type",
AUT,all,all,21,7,0.05893605186641834,0.06976663868192455,0.08059722549743076,1.5303249645381304e-36,".74 [.60, .83]",fixed,All studies by task,
RAT,all,all,8,6,-0.041089314806642886,0.05736028554116302,0.15580988588896894,0.2534766078489887,".00 [.00, .68]",fixed,All studies by task,
TTCT(F),all,all,18,5,-0.30759710438463167,-0.25139631688347963,-0.1951955293823276,1.830432650412887e-18,".94 [.92, .96]",fixed,All studies by task,
TTCT(V),all,all,9,3,-0.07707547951269623,0.0013203635575779874,0.07971620662785221,0.9736664276065847,".00 [.00, .65]",fixed,All studies by task,
AUT,all,all,21,7,-0.2160999890016105,-0.006378206837322656,0.2033435753269652,0.9524679996868526,".74 [.60, .83]",random,All studies by task,
RAT,all,all,8,6,-0.041089314806642886,0.05736028554116302,0.15580988588896894,0.2534766078489887,".00 [.00, .68]",random,All studies by task,
TTCT(F),all,all,18,5,-0.5476889952354107,-0.32279852537122056,-0.09790805550703041,0.004904325454306029,".94 [.92, .96]",random,All studies by task,
TTCT(V),all,all,9,3,-0.07707547951269623,0.0013203635575779874,0.07971620662785221,0.9736664276065847,".00 [.00, .65]",random,All studies by task,
AUT,beta,all,3,1,0.03531077058811528,0.06091264866530001,0.08651452674248475,3.1133465924289226e-6,".92 [.79, .97]",fixed,"All studies by task, ES type",
AUT,d,all,15,5,-0.05287246316941077,0.039672649652250314,0.1322177624739114,0.4007928619948543,".70 [.50, .83]",fixed,"All studies by task, ES type",
AUT,rho_p,all,3,1,0.06018603323880531,0.07223981119711553,0.08429358915542576,7.376926109375831e-32,".50 [.00, .86]",fixed,"All studies by task, ES type",
RAT,d,all,5,3,-0.10875638319578766,0.06155789415476094,0.23187217150530953,0.4786946272227145,".00 [.00, .79]",fixed,"All studies by task, ES type",
RAT,rho,all,3,3,-0.06539459908429965,0.05525387276173076,0.17590234460776116,0.36939206568097305,".00 [.00, .90]",fixed,"All studies by task, ES type",
TTCT(F),d,all,8,2,-0.6621847146251827,-0.5237826878609443,-0.38538066109670593,1.1936359779182514e-13,".00 [.00, .68]",fixed,"All studies by task, ES type",
TTCT(F),d_p,all,2,1,-1.2942032184415744,-1.1569379888268376,-1.0196727592121009,2.6546787726055045e-61,".96 [.87, .98]",fixed,"All studies by task, ES type",
TTCT(F),rho,all,8,2,-0.02547115991548165,0.0433188648716662,0.11210888965881405,0.21711340610855046,".00 [.00, .68]",fixed,"All studies by task, ES type",
TTCT(V),d,all,3,1,-0.49938976832300613,-0.035971786447874896,0.4274461954272563,0.8790782278755993,".00 [.00, .90]",fixed,"All studies by task, ES type",
TTCT(V),rho,all,6,2,-0.0771232432677242,0.002419034675210732,0.08196131261814567,0.9524692010288671,".00 [.00, .75]",fixed,"All studies by task, ES type",
AUT,beta,all,3,1,-0.23016783539444763,0.5203153876995733,1.2707986107935942,0.17419189031779292,".92 [.79, .97]",random,"All studies by task, ES type",
AUT,d,all,15,5,-0.43813876375990934,-0.15601620778858757,0.12610634818273422,0.27841934078032665,".70 [.50, .83]",random,"All studies by task, ES type",
AUT,rho_p,all,3,1,0.05500745078880702,0.07210312988924182,0.08919880898967662,1.3807722528817279e-16,".50 [.00, .86]",random,"All studies by task, ES type",
RAT,d,all,5,3,-0.10875638319578766,0.06155789415476094,0.23187217150530953,0.4786946272227145,".00 [.00, .79]",random,"All studies by task, ES type",
RAT,rho,all,3,3,-0.06539459908429965,0.05525387276173076,0.17590234460776116,0.36939206568097305,".00 [.00, .90]",random,"All studies by task, ES type",
TTCT(F),d,all,8,2,-0.6883016420563206,-0.5242390129142217,-0.3601763837721228,3.7815280899796037e-10,".00 [.00, .68]",random,"All studies by task, ES type",
TTCT(F),d_p,all,2,1,-1.8668923065061382,-1.2043602701307887,-0.5418282337554393,3.668492875365158e-4,".96 [.87, .98]",random,"All studies by task, ES type",
TTCT(F),rho,all,8,2,-0.02547115991548165,0.0433188648716662,0.11210888965881405,0.21711340610855046,".00 [.00, .68]",random,"All studies by task, ES type",
TTCT(V),d,all,3,1,-0.49938976832300613,-0.035971786447874896,0.4274461954272563,0.8790782278755993,".00 [.00, .90]",random,"All studies by task, ES type",
TTCT(V),rho,all,6,2,-0.0771232432677242,0.002419034675210732,0.08196131261814567,0.9524692010288671,".00 [.00, .75]",random,"All studies by task, ES type",
AUT,all,Appropriateness,2,2,-0.5726844422299984,-0.09752981172926146,0.3776248187714754,0.6874629285610993,".89 [.60, .97]",fixed,"All studies by task, measure",
AUT,all,Elaboration,2,2,-0.5921192515498975,-0.13042499726519818,0.33126925701950116,0.579801686302689,".81 [.20, .96]",fixed,"All studies by task, measure",
AUT,all,Flexibility,2,2,-0.6580427304451494,-0.18696136637693897,0.2841199976912714,0.4366488047293978,".87 [.49, .97]",fixed,"All studies by task, measure",
AUT,all,Fluency,8,7,0.06131428190471211,0.081499514172945,0.10168474644117789,2.5022424488814372e-15,".69 [.35, .85]",fixed,"All studies by task, measure",
AUT,all,Originality,5,5,0.06346416284786326,0.08407764135692566,0.10469111986598807,1.3037277702521967e-15,".82 [.59, .92]",fixed,"All studies by task, measure",
AUT,all,Originality/Fluency,2,2,0.037232217363976805,0.05366397129068676,0.07009572521739671,1.543752431248603e-10,".00 [NA, NA]",fixed,"All studies by task, measure",
RAT,all,"Problems solved out of 20, untimed",1,1,-0.40178718238583455,0.12063490110499632,0.6430569845958272,0.6508480668211591,"NA [NA, NA]",fixed,"All studies by task, measure",
RAT,all,Problems solved out of 21,1,1,-0.4050434542801066,-0.07585116934575273,0.25334111558860106,0.6515520827707526,"NA [NA, NA]",fixed,"All studies by task, measure",
RAT,all,Problems solved out of 30 in 40 minutes,2,2,-0.08639624934558549,0.050902810661229425,0.18820187066804434,0.4674434533636255,".00 [NA, NA]",fixed,"All studies by task, measure",
RAT,all,Problems solved with insight,1,1,-0.10080935252897955,0.3039321170162808,0.7086735865615412,0.1410765566190233,"NA [NA, NA]",fixed,"All studies by task, measure",
RAT,all,Reaction time,1,1,-0.3273663085076586,0.0015869452743231,0.33054019905630483,0.9924558651062857,"NA [NA, NA]",fixed,"All studies by task, measure",
RAT,all,Total problems solved in 15 minutes,1,1,-0.1827603287154174,0.07000000000000003,0.3227603287154175,0.5872697676024159,"NA [NA, NA]",fixed,"All studies by task, measure",
RAT,all,Total problems solved in 5 minutes,1,1,-0.3186289781279201,0.08178976461016942,0.48220850734825893,0.6889036208465302,"NA [NA, NA]",fixed,"All studies by task, measure",
TTCT(F),all,Elaboration,5,5,-0.570561976566456,-0.4640056236300164,-0.35744927069357685,1.404305631622282e-17,".97 [.96, .98]",fixed,"All studies by task, measure",
TTCT(F),all,Flexibility,4,4,-0.16508527702395104,-0.04234965961609419,0.08038595779176266,0.49886203881501034,".64 [.00, .88]",fixed,"All studies by task, measure",
TTCT(F),all,Fluency,4,4,-0.1688445301836376,-0.04610992516506454,0.07662467985350853,0.46152681513768645,".41 [.00, .80]",fixed,"All studies by task, measure",
TTCT(F),all,Originality,5,5,-0.4452690380664887,-0.34308061556130415,-0.24089219305611959,4.696491500254528e-11,".94 [.89, .97]",fixed,"All studies by task, measure",
TTCT(V),all,Flexibility,3,3,-0.12911261616331698,0.006624659449847568,0.14236193506301215,0.9237937342791093,".00 [.00, .90]",fixed,"All studies by task, measure",
TTCT(V),all,Fluency,3,3,-0.13991747108353575,-0.004071342121132389,0.13177478684127097,0.9531587163174524,".00 [.00, .90]",fixed,"All studies by task, measure",
TTCT(V),all,Originality,3,3,-0.13437423520340247,0.001399178019735144,0.13717259124287273,0.9838854989676604,".00 [.00, .90]",fixed,"All studies by task, measure",
AUT,all,Appropriateness,2,2,-1.893126712716331,-0.3447136275624017,1.2036994575915276,0.6625939390993565,".89 [.60, .97]",random,"All studies by task, measure",
AUT,all,Elaboration,2,2,-1.3923035459765838,-0.2735082109143676,0.8452871241478486,0.63183480943458,".81 [.20, .96]",random,"All studies by task, measure",
AUT,all,Flexibility,2,2,-1.815891009316306,-0.41210871322856174,0.9916735828591827,0.565029521139943,".87 [.49, .97]",random,"All studies by task, measure",
AUT,all,Fluency,8,7,-0.01857660314995671,0.10397196696462987,0.22652053707921646,0.09634014374017187,".69 [.35, .85]",random,"All studies by task, measure",
AUT,all,Originality,5,5,-0.5745361385725003,0.14718420144295255,0.8689045414584053,0.6893732931242968,".82 [.59, .92]",random,"All studies by task, measure",
AUT,all,Originality/Fluency,2,2,0.037232217363976805,0.05366397129068676,0.07009572521739671,1.543752431248603e-10,".00 [NA, NA]",random,"All studies by task, measure",
RAT,all,"Problems solved out of 20, untimed",1,1,-0.40178718238583455,0.12063490110499632,0.6430569845958272,0.6508480668211591,"NA [NA, NA]",random,"All studies by task, measure",
RAT,all,Problems solved out of 21,1,1,-0.4050434542801066,-0.07585116934575273,0.25334111558860106,0.6515520827707526,"NA [NA, NA]",random,"All studies by task, measure",
RAT,all,Problems solved out of 30 in 40 minutes,2,2,-0.08639624934558549,0.050902810661229425,0.18820187066804434,0.4674434533636255,".00 [NA, NA]",random,"All studies by task, measure",
RAT,all,Problems solved with insight,1,1,-0.10080935252897955,0.3039321170162808,0.7086735865615412,0.1410765566190233,"NA [NA, NA]",random,"All studies by task, measure",
RAT,all,Reaction time,1,1,-0.3273663085076586,0.0015869452743231,0.33054019905630483,0.9924558651062857,"NA [NA, NA]",random,"All studies by task, measure",
RAT,all,Total problems solved in 15 minutes,1,1,-0.1827603287154174,0.07000000000000003,0.3227603287154175,0.5872697676024159,"NA [NA, NA]",random,"All studies by task, measure",
RAT,all,Total problems solved in 5 minutes,1,1,-0.3186289781279201,0.08178976461016942,0.48220850734825893,0.6889036208465302,"NA [NA, NA]",random,"All studies by task, measure",
TTCT(F),all,Elaboration,5,5,-1.17559481883148,-0.5577979567374083,0.05999890535666341,0.07679094438914057,".97 [.96, .98]",random,"All studies by task, measure",
TTCT(F),all,Flexibility,4,4,-0.3594313475214165,-0.10468804995967726,0.15005524760206193,0.4205559305594795,".64 [.00, .88]",random,"All studies by task, measure",
TTCT(F),all,Fluency,4,4,-0.26737580363159724,-0.07764791553499571,0.11207997256160583,0.4224756684410437,".41 [.00, .80]",random,"All studies by task, measure",
TTCT(F),all,Originality,5,5,-0.8071636492455793,-0.3921274984340072,0.022908652377564898,0.06405737540353808,".94 [.89, .97]",random,"All studies by task, measure",
TTCT(V),all,Flexibility,3,3,-0.12911261616331698,0.006624659449847568,0.14236193506301215,0.9237937342791093,".00 [.00, .90]",random,"All studies by task, measure",
TTCT(V),all,Fluency,3,3,-0.13991747108353575,-0.004071342121132389,0.13177478684127097,0.9531587163174524,".00 [.00, .90]",random,"All studies by task, measure",
TTCT(V),all,Originality,3,3,-0.13437423520340247,0.001399178019735144,0.13717259124287273,0.9838854989676604,".00 [.00, .90]",random,"All studies by task, measure",
AUT,d,Appropriateness,2,2,-0.5726844422299984,-0.09752981172926146,0.3776248187714754,0.6874629285610993,".89 [.60, .97]",fixed,"All studies by task, measure, ES type",
AUT,d,Elaboration,2,2,-0.5921192515498975,-0.13042499726519818,0.33126925701950116,0.579801686302689,".81 [.20, .96]",fixed,"All studies by task, measure, ES type",
AUT,d,Flexibility,2,2,-0.6580427304451494,-0.18696136637693897,0.2841199976912714,0.4366488047293978,".87 [.49, .97]",fixed,"All studies by task, measure, ES type",
AUT,beta,Fluency,1,1,0.15256965137356582,0.305,0.45743034862643417,8.791943857824772e-5,"NA [NA, NA]",fixed,"All studies by task, measure, ES type",
AUT,d,Fluency,6,5,-0.02694691895973074,0.0788258580885,0.18459863513673075,0.14411453851681116,".65 [.14, .85]",fixed,"All studies by task, measure, ES type",
AUT,rho_p,Fluency,1,1,0.05670682210609573,0.07745966692414834,0.09821251174220094,2.56358426067989e-13,"NA [NA, NA]",fixed,"All studies by task, measure, ES type",
AUT,beta,Originality,1,1,0.7123251919867464,1.424,2.1356748080132535,8.791943857824837e-5,"NA [NA, NA]",fixed,"All studies by task, measure, ES type",
AUT,d,Originality,3,3,-0.30801127720029414,-0.03833698303121449,0.23133731113786518,0.7805294777814498,".76 [.20, .93]",fixed,"All studies by task, measure, ES type",
AUT,rho_p,Originality,1,1,0.06298330963274727,0.08366600265340755,0.10434869567406783,2.218414436753376e-15,"NA [NA, NA]",fixed,"All studies by task, measure, ES type",
AUT,beta,Originality/Fluency,1,1,0.026011874988280066,0.052,0.07798812501171992,8.791943857824818e-5,"NA [NA, NA]",fixed,"All studies by task, measure, ES type",
AUT,rho_p,Originality/Fluency,1,1,0.03356289131346,0.05477225575051661,0.07598162018757323,4.1592438876586344e-7,"NA [NA, NA]",fixed,"All studies by task, measure, ES type",
RAT,d,"Problems solved out of 20, untimed",1,1,-0.40178718238583455,0.12063490110499632,0.6430569845958272,0.6508480668211591,"NA [NA, NA]",fixed,"All studies by task, measure, ES type",
RAT,d,Problems solved out of 21,1,1,-0.4050434542801066,-0.07585116934575273,0.25334111558860106,0.6515520827707526,"NA [NA, NA]",fixed,"All studies by task, measure, ES type",
RAT,rho,Problems solved out of 30 in 40 minutes,2,2,-0.08639624934558549,0.050902810661229425,0.18820187066804434,0.4674434533636255,".00 [NA, NA]",fixed,"All studies by task, measure, ES type",
RAT,d,Problems solved with insight,1,1,-0.10080935252897955,0.3039321170162808,0.7086735865615412,0.1410765566190233,"NA [NA, NA]",fixed,"All studies by task, measure, ES type",
RAT,d,Reaction time,1,1,-0.3273663085076586,0.0015869452743231,0.33054019905630483,0.9924558651062857,"NA [NA, NA]",fixed,"All studies by task, measure, ES type",
RAT,rho,Total problems solved in 15 minutes,1,1,-0.1827603287154174,0.07000000000000003,0.3227603287154175,0.5872697676024159,"NA [NA, NA]",fixed,"All studies by task, measure, ES type",
RAT,d,Total problems solved in 5 minutes,1,1,-0.3186289781279201,0.08178976461016942,0.48220850734825893,0.6889036208465302,"NA [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(F),d,Elaboration,2,2,-0.9793436670857965,-0.6966888435445057,-0.41403402000321493,1.3589828943334617e-6,".00 [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(F),d_p,Elaboration,1,1,-1.7547262348079204,-1.544575762374344,-1.3344252899407674,4.781686241831911e-47,"NA [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(F),rho,Elaboration,2,2,-0.08402312420259395,0.053450578976469994,0.19092428215553392,0.44603287955512894,".00 [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(F),d,Flexibility,2,2,-0.673598378510472,-0.4014868297466791,-0.12937528098288625,0.003830078759064579,".00 [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(F),rho,Flexibility,2,2,-0.08814278819496404,0.049376229035931085,0.18689524626682621,0.48160377560203393,".00 [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(F),d,Fluency,2,2,-0.5940743858491949,-0.32383193624772444,-0.05358948664625396,0.01884273122380094,".00 [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(F),rho,Fluency,2,2,-0.11170103826038186,0.026060962972818177,0.16382296420601822,0.7108059732119196,".00 [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(F),d,Originality,2,2,-0.9848937525353594,-0.7019441957229107,-0.418994638910462,1.160301864080221e-6,".00 [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(F),d_p,Originality,1,1,-1.0497747742902486,-0.8684962373468951,-0.6872177004035416,5.995036325823283e-21,"NA [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(F),rho,Originality,2,2,-0.09324513579172168,0.04432086739750875,0.1818868705867392,0.5277403870845441,".00 [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(V),d,Flexibility,1,1,-0.9431908868371606,-0.1409272301646762,0.6613364265078081,0.7306273217709431,"NA [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(V),rho,Flexibility,2,2,-0.1267498419347147,0.01097298867684764,0.14869581928841,0.8759076756897215,".00 [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(V),d,Fluency,1,1,-0.6277216949337902,0.17570837962262056,0.9791384541790312,0.6681853864069519,"NA [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(V),rho,Fluency,2,2,-0.14719295388849102,-0.009362321087070077,0.12846831171435086,0.8940881598840051,".00 [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(V),d,Originality,1,1,-0.9443898907512887,-0.14209150772064907,0.6602068753099906,0.7285007727547247,"NA [NA, NA]",fixed,"All studies by task, measure, ES type",
TTCT(V),rho,Originality,2,2,-0.13213063651383777,0.005629765503742414,0.1433901675213226,0.9361604394973573,".00 [NA, NA]",fixed,"All studies by task, measure, ES type",
AUT,d,Appropriateness,2,2,-1.893126712716331,-0.3447136275624017,1.2036994575915276,0.6625939390993565,".89 [.60, .97]",random,"All studies by task, measure, ES type",
AUT,d,Elaboration,2,2,-1.3923035459765838,-0.2735082109143676,0.8452871241478486,0.63183480943458,".81 [.20, .96]",random,"All studies by task, measure, ES type",
AUT,d,Flexibility,2,2,-1.815891009316306,-0.41210871322856174,0.9916735828591827,0.565029521139943,".87 [.49, .97]",random,"All studies by task, measure, ES type",
AUT,beta,Fluency,1,1,0.15256965137356582,0.305,0.45743034862643417,8.791943857824772e-5,"NA [NA, NA]",random,"All studies by task, measure, ES type",
AUT,d,Fluency,6,5,-0.30672563434112,-0.00977690262599433,0.2871718290891313,0.9485474819747288,".65 [.14, .85]",random,"All studies by task, measure, ES type",
AUT,rho_p,Fluency,1,1,0.05670682210609573,0.07745966692414834,0.09821251174220094,2.56358426067989e-13,"NA [NA, NA]",random,"All studies by task, measure, ES type",
AUT,beta,Originality,1,1,0.7123251919867464,1.424,2.1356748080132535,8.791943857824837e-5,"NA [NA, NA]",random,"All studies by task, measure, ES type",
AUT,d,Originality,3,3,-0.994597520223146,-0.21295907696056146,0.568679366302023,0.5933440192675739,".76 [.20, .93]",random,"All studies by task, measure, ES type",
AUT,rho_p,Originality,1,1,0.06298330963274727,0.08366600265340755,0.10434869567406783,2.218414436753376e-15,"NA [NA, NA]",random,"All studies by task, measure, ES type",
AUT,beta,Originality/Fluency,1,1,0.026011874988280066,0.052,0.07798812501171992,8.791943857824818e-5,"NA [NA, NA]",random,"All studies by task, measure, ES type",
AUT,rho_p,Originality/Fluency,1,1,0.03356289131346,0.05477225575051661,0.07598162018757323,4.1592438876586344e-7,"NA [NA, NA]",random,"All studies by task, measure, ES type",
RAT,d,"Problems solved out of 20, untimed",1,1,-0.40178718238583455,0.12063490110499632,0.6430569845958272,0.6508480668211591,"NA [NA, NA]",random,"All studies by task, measure, ES type",
RAT,d,Problems solved out of 21,1,1,-0.4050434542801066,-0.07585116934575273,0.25334111558860106,0.6515520827707526,"NA [NA, NA]",random,"All studies by task, measure, ES type",
RAT,rho,Problems solved out of 30 in 40 minutes,2,2,-0.08639624934558549,0.050902810661229425,0.18820187066804434,0.4674434533636255,".00 [NA, NA]",random,"All studies by task, measure, ES type",
RAT,d,Problems solved with insight,1,1,-0.10080935252897955,0.3039321170162808,0.7086735865615412,0.1410765566190233,"NA [NA, NA]",random,"All studies by task, measure, ES type",
RAT,d,Reaction time,1,1,-0.3273663085076586,0.0015869452743231,0.33054019905630483,0.9924558651062857,"NA [NA, NA]",random,"All studies by task, measure, ES type",
RAT,rho,Total problems solved in 15 minutes,1,1,-0.1827603287154174,0.07000000000000003,0.3227603287154175,0.5872697676024159,"NA [NA, NA]",random,"All studies by task, measure, ES type",
RAT,d,Total problems solved in 5 minutes,1,1,-0.3186289781279201,0.08178976461016942,0.48220850734825893,0.6889036208465302,"NA [NA, NA]",random,"All studies by task, measure, ES type",
